OBJECTID,ORIG_FID,fault_name,section_name,fault_id,section_id,Location,linetype,age,dip_direction,slip_rate,slip_sense,mapped_scale,class,mapped_certainty,strike,total_fault_length,cooperators,earthquake,last_review,fault_url,symbology,ref_id,Fault_ID_num,Shape_Length,POINT_X,POINT_Y
42,1409,Abert Rim fault,Lake Abert section,829,a,Oregon,Well Constrained,latest Quaternary,Unspecified,Between 0.2 and 1.0 mm/yr,Normal,unspecified,A,Good,N14°E,77,Oregon Department of Geology and Mineral Industries ,,3/28/2016 0:00:00,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=829&section_id=a,latest Quaternary Well Constrained,829a,829,0.022738397501242,-120.192423052999970,42.563477572000068
43,1409,Abert Rim fault,Lake Abert section,829,a,Oregon,Well Constrained,latest Quaternary,Unspecified,Between 0.2 and 1.0 mm/yr,Normal,unspecified,A,Good,N14°E,77,Oregon Department of Geology and Mineral Industries ,,3/28/2016 0:00:00,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=829&section_id=a,latest Quaternary Well Constrained,829a,829,0.022738397501242,-120.197123770999951,42.559938367000029
44,1411,Abert Rim fault,Lake Abert section,829,a,Oregon,Well Constrained,latest Quaternary,Unspecified,Between 0.2 and 1.0 mm/yr,Normal,unspecified,A,Good,N14°E,77,Oregon Department of Geology and Mineral Industries ,,3/28/2016 0:00:00,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=829&section_id=a,latest Quaternary Well Constrained,829a,829,0.014415631895602,-120.181660941999951,42.618680258000040
45,1411,Abert Rim fault,Lake Abert section,829,a,Oregon,Well Constrained,latest Quaternary,Unspecified,Between 0.2 and 1.0 mm/yr,Normal,unspecified,A,Good,N14°E,77,Oregon Department of Geology and Mineral Industries ,,3/28/2016 0:00:00,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=829&section_id=a,latest Quaternary Well Constrained,829a,829,0.014415631895602,-120.182568015999948,42.612445997000066
46,1412,Abert Rim fault,Lake Abert section,829,a,Oregon,Well Constrained,latest Quaternary,Unspecified,Between 0.2 and 1.0 mm/yr,Normal,unspecified,A,Good,N14°E,77,Oregon Department of Geology and Mineral Industries ,,3/28/2016 0:00:00,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=829&section_id=a,latest Quaternary Well Constrained,829a,829,0.021237401746741,-120.180361874999960,42.639503725000054
47,1412,Abert Rim fault,Lake Abert section,829,a,Oregon,Well Constrained,latest Quaternary,Unspecified,Between 0.2 and 1.0 mm/yr,Normal,unspecified,A,Good,N14°E,77,Oregon Department of Geology and Mineral Industries ,,3/28/2016 0:00:00,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=829&section_id=a,latest Quaternary Well Constrained,829a,829,0.021237401746741,-120.180718660999958,42.633166568000036
48,1412,Abert Rim fault,Lake Abert section,829,a,Oregon,Well Constrained,latest Quaternary,Unspecified,Between 0.2 and 1.0 mm/yr,Normal,unspecified,A,Good,N14°E,77,Oregon Department of Geology and Mineral Industries ,,3/28/2016 0:00:00,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=829&section_id=a,latest Quaternary Well Constrained,829a,829,0.021237401746741,-120.179724490999945,42.627047724000079
49,1413,Abert Rim fault,Lake Abert section,829,a,Oregon,Well Constrained,latest Quaternary,Unspecified,Between 0.2 and 1.0 mm/yr,Normal,unspecified,A,Good,N14°E,77,Oregon Department of Geology and Mineral Industries ,,3/28/2016 0:00:00,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=829&section_id=a,latest Quaternary Well Constrained,829a,829,0.015632228580797,-120.177990503999979,42.653787345000069
50,1413,Abert Rim fault,Lake Abert section,829,a,Oregon,Well Constrained,latest Quaternary,Unspecified,Between 0.2 and 1.0 mm/yr,Normal,unspecified,A,Good,N14°E,77,Oregon Department of Geology and Mineral Industries ,,3/28/2016 0:00:00,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=829&section_id=a,latest Quaternary Well Constrained,829a,829,0.015632228580797,-120.179262365999989,42.647750394000070
51,1417,Abert Rim fault,Lake Abert section,829,a,Oregon,Well Constrained,latest Quaternary,Unspecified,Between 0.2 and 1.0 mm/yr,Normal,unspecified,A,Good,N14°E,77,Oregon Department of Geology and Mineral Industries ,,3/28/2016 0:00:00,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=829&section_id=a,latest Quaternary Well Constrained,829a,829,0.008824383918334,-120.165788339999949,42.672564966000039
