OBJECTID,ORIG_FID,FCLASS,URBAN_CODE,ROUNDED_SPEED,Volume,Capacity,VCR,Artificial,Shape_Length,MODE_TYPE,MILES,POINT_X,POINT_Y
5678,118053,3,64945,45,20040.000000000000000,30959.359359359350492,0.647300215982720,0,246.070893067970587,road,0.152901058397822,-1330213.632100000977516,357651.830499999225140
5679,118054,3,64945,45,20040.000000000000000,30959.359359359350492,0.647300215982720,0,132.915694648977848,road,0.082589818471121,-1330031.299999997019768,357703.422200001776218
5680,118055,3,64945,50,3565.000000000000000,13176.484777517549446,0.270557744360075,0,2475.995024953958819,road,1.538508903605390,-1329758.176899999380112,366756.698499999940395
5681,118056,3,64945,50,4019.000000000000000,12975.813278008299676,0.309730104301939,0,965.773745219254238,road,0.600102783290436,-1330324.788400001823902,319914.641899999231100
5682,118057,3,64945,50,6008.000000000000000,13526.344444444450346,0.444170265268351,0,1499.834167988963372,road,0.931951881214102,-1331499.102499999105930,361042.478900000452995
5683,118058,3,64945,50,9212.000000000000000,13472.028959276000023,0.683787128712872,0,1586.884755956675463,road,0.986042500663105,-1332745.187600001692772,360134.187199998646975
5684,118059,3,64945,50,10631.000000000000000,26491.196470588249213,0.401303127693875,0,424.650860163924563,road,0.263865283533045,-1331046.657999999821186,359860.452799998223782
5685,118060,3,64945,50,11803.000000000000000,30000.000000000000000,0.393433333333333,0,1949.834375288572119,road,1.211568487296580,-1326782.852899998426437,357871.631200000643730
5686,118061,3,64945,50,13993.000000000000000,21648.033444816050178,0.646386658431129,0,1952.604422518286583,road,1.213289711403800,-1327495.968500003218651,349213.278000000864267
5687,118062,3,64945,55,2494.000000000000000,9456.361930294899139,0.263737790324003,0,796.715612238689005,road,0.495055139738592,-1329603.008000001311302,365449.212600000202656
5688,118063,3,64945,55,2494.000000000000000,9456.361930294899139,0.263737790324003,0,195.524342578194933,road,0.121492950872846,-1329116.320900000631809,365353.698100000619888
5689,118064,3,64945,55,2494.000000000000000,9556.676943699749245,0.260969374050482,0,2448.033308724779090,road,1.521134333404270,-1334361.104800000786781,366261.208700001239777
5690,118065,3,64945,55,3347.000000000000000,9793.322000000000116,0.341763499658236,0,1397.709940130835776,road,0.868494954907686,-1332470.388999998569489,365911.101100001484156
5691,118066,3,64945,55,3464.000000000000000,10018.959459459449135,0.345744487141273,0,1345.530059478988051,road,0.836071945102395,-1331113.725599996745586,365730.613200001418591
5692,118067,3,64945,55,3565.000000000000000,13176.484777517549446,0.270557744360075,0,4369.321198887841092,road,2.714964892680150,-1329389.686899997293949,370140.540100000798702
5693,118068,3,64945,55,4642.000000000000000,12984.265709156199591,0.357509627727856,0,1664.824189836838286,road,1.034471722756890,-1329288.691299997270107,323919.400899998843670
5694,118069,3,64945,55,4642.000000000000000,25668.509874326751742,0.180844155844156,0,1875.706659619153697,road,1.165507752354890,-1329581.851499997079372,322173.584399998188019
5695,118070,3,64945,55,10119.000000000000000,28197.909340659349255,0.358856391718699,0,704.625509419870241,road,0.437833117201078,-1331413.356100000441074,319288.875700000673532
